COUNTY,Total Count,Arson Count,Campfire Count,Debris Burning Count,Electrical Power Count,Equipment Usage Count,Lightning Count,Misc. Count,Play With Fire Count,Railroad Count,Smoking Count,Undetermined Count,Vehicle Count,Total Acres,Arson Acres,Campfire Acres,Debris Burning Acres,Electrical Power Acres,Equipment Usage Acres,Lightning Acres,Misc. Acres,Play With Fire Acres,Railroad Acres,Smoking Acres,Undetermined Acres,Vehicle Acres,Total Dollars,Arson Dollars,Campfire Dollars,Debris Burning Dollars,Electrical Power Dollars,Equipment Usage Dollars,Lightning Dollars,Misc. Dollars,Play With Fire Dollars,Railroad Dollars,Smoking Dollars,Undetermined Dollars,Vehicle Dollars
Alameda,33,0,1,0,6,5,0,1,0,0,1,13,6,248252,0,0,0,5400,200550,0,25000,0,0,0,17102,200,130,0,0,0,18,6,0,2,0,0,0,89,15
Amador,67,2,3,14,6,12,1,15,1,0,0,9,4,152901,0,0,601,0,11000,0,141300,0,0,0,0,0,179,0,1,24,1,11,7,118,10,0,0,4,3
Butte,192,40,2,34,11,9,4,47,6,0,2,22,15,141734,5700,0,1003,4251,1578,0,3500,0,0,12000,105402,8300,559,85,0,17,9,402,1,3,5,0,3,26,8
Calaveras,100,1,3,17,12,17,9,17,3,0,1,13,7,163589,0,112,980,30100,77450,2025,500,620,0,25,23575,28202,322,1,1,10,13,218,7,14,4,0,0,45,9
Colusa,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,15,0,0,0,1
Contra Costa,29,1,1,1,5,1,0,3,0,0,0,15,2,24277,250,0,0,20000,0,0,250,0,0,0,777,3000,210,1,0,0,83,1,0,2,0,0,0,107,16
Del Norte,27,2,7,3,0,0,1,4,1,0,0,8,1,20075,0,20000,0,0,0,0,0,0,0,0,75,0,14,3,4,0,0,0,0,0,1,0,0,6,0
El Dorado,174,3,3,41,11,18,9,32,5,0,4,26,22,218451,0,0,15150,3000,14601,0,5900,0,0,135000,300,44500,102085,97718,0,25,2,29,2,31,1,0,5,18,4254
Fresno,57,5,2,12,5,4,1,9,0,0,1,13,5,1017700,12260,0,140,5100,1000000,0,0,0,0,0,0,200,242,37,2,5,14,43,1,8,0,0,0,129,3
Glenn,4,0,0,0,0,0,0,2,0,0,0,2,0,100,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Humboldt,127,40,17,8,8,4,0,15,0,0,2,30,3,247101,0,0,220100,2500,13501,0,0,0,0,0,11000,0,596,39,10,340,25,100,0,2,0,0,0,75,5
Inyo,19,0,0,2,1,1,2,2,2,0,0,7,2,100000,0,0,0,0,0,0,0,0,0,0,0,100000,137,0,0,1,0,5,0,0,0,0,0,131,0
Kings,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,1
Lake,62,0,4,9,4,2,0,11,6,0,0,15,11,69255,0,0,5,0,0,0,0,0,0,0,55250,14000,343,0,15,34,4,4,0,6,6,0,0,183,91
Lassen,67,1,2,12,0,2,40,1,0,0,0,7,2,756523,0,200,200000,0,0,556221,0,0,0,0,102,0,13220,0,0,12,0,0,13204,0,0,0,0,4,0
Madera,72,12,4,9,2,3,2,12,1,0,1,19,7,5807684,1000,0,0,0,500,0,2901332,0,2,0,2900450,4400,998,2,0,4,1,28,0,321,0,0,1,633,8
Mariposa,38,1,2,12,5,1,1,1,0,0,1,12,2,30000,0,0,0,0,0,0,0,0,0,0,10000,20000,527,0,131,4,2,0,0,68,0,0,1,30,291
Mendocino,138,17,6,22,11,6,4,34,1,0,2,20,15,2181483,1000,510,20100,52150,1425618,0,666405,10000,0,0,200,5500,13207,23,4,19,6,443,12576,36,1,0,1,91,7
Merced,14,0,0,0,2,0,0,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,15,0,0,0,0,0,0,23,1
Modoc,11,0,0,4,0,0,5,0,0,0,0,2,0,11,0,0,0,0,0,1,0,0,0,0,10,0,18,0,0,4,0,0,14,0,0,0,0,0,0
Monterey,33,0,1,3,9,2,0,7,0,0,0,6,5,2180,0,0,0,0,0,0,0,0,0,0,180,2000,374,0,0,1,3,4,0,257,0,0,0,2,107
Napa,58,5,0,6,12,5,0,13,0,0,1,11,5,126015,100,0,103808,100,5007,0,4000,0,0,100,400,12500,10956,1,0,4,11,4331,0,6497,0,0,9,102,1
Nevada,75,3,4,20,7,5,2,7,0,0,3,21,3,618610,100,0,100000,100,1000,0,15000,0,0,0,501400,1010,212,0,0,18,7,0,16,2,0,0,0,168,1
