COUNTY,Total Count,Arson Count,Campfire Count,Debris Burning Count,Electrical Power Count,Equipment Usage Count,Lightning Count,Misc. Count,Play With Fire Count,Railroad Count,Smoking Count,Undetermined Count,Vehicle Count,Total Acres,Arson Acres,Campfire Acres,Debris Burning Acres,Electrical Power Acres,Equipment Usage Acres,Lightning Acres,Misc. Acres,Play With Fire Acres,Railroad Acres,Smoking Acres,Undetermined Acres,Vehicle Acres,Total Dollars,Arson Dollars,Campfire Dollars,Debris Burning Dollars,Electrical Power Dollars,Equipment Usage Dollars,Lightning Dollars,Misc. Dollars,Play With Fire Dollars,Railroad Dollars,Smoking Dollars,Undetermined Dollars,Vehicle Dollars,,
San Diego,131,10,7,14,16,8,5,17,2,0,3,36,13,7963,7,2,4,12,22,5,33,0,0,1,7794,83,4286760,0,0,0,0,15210,0,23700,0,0,0,3833850,414000,,
San Francisco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
San Joaquin,13,0,0,0,1,1,0,0,0,1,0,7,3,378,0,0,0,0,5,0,0,0,1,0,223,149,1936,0,0,0,0,900,0,0,0,0,0,1036,0,,
San Luis Obispo,146,8,7,13,17,20,0,22,0,0,3,37,19,46805,10,2,13,67,92,0,20,0,0,4,255,46343,12215711,700,0,0,23460,21300,0,0,0,0,200,7300,12162751,,
San Mateo,23,0,2,1,3,1,0,7,0,0,2,5,2,20,0,0,3,2,0,0,1,0,0,0,13,1,20200,0,15000,0,0,0,0,200,0,0,0,0,5000,,
Santa Clara,37,0,1,2,1,4,0,5,0,0,2,17,5,4756,0,0,3,25,129,0,103,0,0,0,4488,8,275222,0,0,3500,50000,500,0,200,0,0,0,220002,1020,,
Santa Cruz,32,2,3,1,8,2,0,3,0,0,0,11,2,15,0,0,0,1,1,0,2,0,0,0,1,10,8603,0,2,100,1000,300,0,0,0,0,0,201,7000,,
Shasta,114,13,5,24,7,6,9,14,2,0,3,22,9,480,311,1,42,7,2,2,27,0,0,1,47,40,215711,52000,0,12211,0,100500,0,40000,0,0,0,700,10300,,
Sierra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Siskiyou,160,3,8,20,10,5,21,59,1,1,3,22,7,844,0,2,9,713,2,8,1,29,28,0,31,21,295712,200,0,0,286411,501,0,1500,500,1300,0,4800,0,,
Solano,11,0,0,0,2,4,0,0,0,0,0,3,2,73,0,0,0,0,4,0,0,0,0,0,68,1,3103,0,0,0,100,1002,0,0,0,0,0,2001,0,,
Sonoma,121,8,10,7,13,12,0,21,2,0,0,27,21,1632,3,0,1,4,12,0,1559,1,0,0,42,10,665106,0,0,0,1000,502,0,116002,0,0,0,503902,43700,,
Stanislaus,18,0,1,0,2,1,1,1,0,0,0,10,2,281,0,8,0,30,1,3,0,0,0,,207,32,8550,0,1600,0,4500,100,0,0,0,0,0,2250,100,,
Sutter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tehama,59,2,1,5,9,13,2,5,0,0,0,19,3,1110,0,0,3,798,110,0,16,0,0,0,93,90,434250,0,0,200,371000,7850,0,200,0,0,0,34000,21000,,
Trinity,18,0,0,4,4,0,0,0,0,0,1,6,3,4,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tulare,71,28,1,6,5,3,1,4,1,0,1,14,7,229,72,0,2,62,28,0,1,0,0,0,54,10,8664,0,2,0,4000,1750,500,0,0,0,0,2,2410,,
Tuolumne,79,1,0,21,6,8,2,8,3,0,2,20,8,1262,0,0,4,32,27,2,84,10,0,0,8,1095,40363,0,0,601,4102,4100,0,0,20750,0,0,6260,4550,,
Yolo,22,0,0,6,4,4,0,0,0,0,0,6,2,6105,0,0,5,2,89,0,0,0,0,0,6008,1,5001900,0,0,1600,100,200,0,0,0,0,0,5000000,0,,
Yuba,61,4,2,10,0,10,0,5,1,0,1,26,2,602,0,1,4,0,36,0,413,0,0,1,93,54,197020,0,0,4,0,0,0,0,0,0,171000,26016,0,,
