COUNTY,Total Count,Arson Count,Campfire Count,Debris Burning Count,Electrical Power Count,Equipment Usage Count,Lightning Count,Misc. Count,Play With Fire Count,Railroad Count,Smoking Count,Undetermined Count,Vehicle Count,Total Acres,Arson Acres,Campfire Acres,Debris Burning Acres,Electrical Power Acres,Equipment Usage Acres,Lightning Acres,Misc. Acres,Play With Fire Acres,Railroad Acres,Smoking Acres,Undetermined Acres,Vehicle Acres,Total Dollars,Arson Dollars,Campfire Dollars,Debris Burning Dollars,Electrical Power Dollars,Equipment Usage Dollars,Lightning Dollars,Misc. Dollars,Play With Fire Dollars,Railroad Dollars,Smoking Dollars,Undetermined Dollars,Vehicle Dollars
San Luis Obispo,95,3,2,9,18,4,32,0,1,0,0,25,1,472,4,1,10,258,49,67,0,1,0,0,45,37,392260,350,0,0,387160,150,4000,0,0,0,0,600,0
San Mateo,21,0,0,1,3,0,5,0,1,0,1,9,1,327,0,0,0,3,0,6,0,0,0,0,317,1,4852,0,0,0,3502,0,300,0,500,0,350,200,0
Santa Clara,53,4,0,3,2,0,23,0,2,0,2,17,0,5063,5,0,1,2,0,764,0,1,0,2,4288,0,58100,15000,0,0,0,0,43100,0,0,0,0,0,0
Santa Cruz,85,5,1,9,7,0,30,0,2,0,2,28,1,1320,4,520,6,1,0,655,0,1,0,2,131,0,50041520,0,50000000,2510,10500,0,25510,0,2000,0,0,1000,0
Shasta,278,6,0,36,20,88,77,1,0,0,2,45,3,64418,6,0,50,108,63752,290,0,0,0,4,205,3,10005601,0,0,1000,51200,9805001,100600,0,0,0,0,47300,500
Siskiyou,87,7,1,17,4,12,26,0,0,0,5,15,0,235,1,0,9,22,66,49,0,0,0,1,87,0,16200,0,0,1100,0,5000,600,0,0,0,500,9000,0
Solano,8,0,0,0,2,0,3,0,0,0,0,2,1,10,0,0,0,3,0,6,0,0,0,0,0,1,3000,0,0,0,2500,0,0,0,0,0,0,0,500
Sonoma,148,3,1,20,19,0,49,0,0,0,2,54,0,1342,3,3,39,38,0,152,0,0,0,1,1106,0,177393,0,0,3002,47752,0,4633,0,0,0,2,122004,0
Stanislaus,56,6,0,1,11,1,27,1,0,0,0,7,2,591,13,0,0,175,156,204,2,0,0,0,30,11,103312,1600,0,0,20200,23400,56262,200,0,0,0,50,1600
Tehama,92,1,0,5,13,13,37,0,0,0,2,20,1,15461,3,0,1334,78,195,13795,0,0,0,6,47,3,1129000,0,0,0,1000,0,1127000,0,0,0,0,1000,0
Trinity,48,0,0,1,2,30,9,0,0,0,4,2,0,14505,0,0,0,1,14493,6,0,0,0,3,2,0,177801,0,0,0,2800,1,175000,0,0,0,0,0,0
Tulare,96,34,1,1,14,1,20,0,0,0,2,22,1,"3,238","1,448",292,5,71,2,117,0,0,0,2,"1,300",1,93916,29012,17000,52,30552,0,7500,0,0,0,0,9750,50
Tuolumne,82,6,0,14,5,7,26,0,0,0,2,17,5,"1,674",5,0,49,3,22,"1,396",0,0,0,2,194,3,429309,900,0,1204,2000,1600,407805,0,0,0,0,300,15500
Yolo,19,0,0,0,5,0,5,0,0,0,0,7,2,372,0,0,0,336,0,22,0,0,0,0,10,4,1500,0,0,0,1000,0,0,0,0,0,0,0,500
Yuba,58,1,2,6,8,1,16,0,0,0,0,23,1,291,3,15,9,69,0,53,0,0,0,0,141,1,227800,0,5000,0,21600,0,1100,0,0,0,0,200000,100
