COUNTY,Total Count,Arson Count,Campfire Count,Debris Burning Count,Electrical Power Count,Equipment Usage Count,Lightning Count,Misc. Count,Play With Fire Count,Railroad Count,Smoking Count,Undetermined Count,Vehicle Count,Total Acres,Arson Acres,Campfire Acres,Debris Burning Acres,Electrical Power Acres,Equipment Usage Acres,Lightning Acres,Misc. Acres,Play With Fire Acres,Railroad Acres,Smoking Acres,Undetermined Acres,Vehicle Acres,Total Dollars,Arson Dollars,Campfire Dollars,Debris Burning Dollars,Electrical Power Dollars,Equipment Usage Dollars,Lightning Dollars,Misc. Dollars,Play With Fire Dollars,Railroad Dollars,Smoking Dollars,Undetermined Dollars,Vehicle Dollars
Alameda,50,0,0,2,8,0,12,0,1,0,0,25,2,546,0,0,8,300,0,119,0,5,0,0,113,1,41700,0,0,0,8300,0,7600,0,1400,0,0,24400,0
Amador,62,3,0,15,14,1,18,0,2,0,1,7,1,81,2,0,12,32,0,27,0,3,0,3,2,0,279550,0,0,50,276000,0,2600,0,600,0,200,100,0
Butte,127,3,0,16,28,1,33,1,0,0,1,39,5,146,2,0,21,27,1,19,0,0,0,1,71,4,6454,0,0,354,50,0,3900,0,0,0,0,150,2000
Calaveras,89,13,0,14,14,0,19,0,1,0,0,25,3,674,3,0,22,19,0,585,0,0,0,0,18,27,162977,400,0,1360,3600,0,133216,0,0,0,0,2051,22350
Colusa,2,0,0,0,1,0,1,0,0,0,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,1500,0,0,0,0,0,0
Contra_Costa,52,5,0,1,3,1,22,0,0,0,0,19,1,347,38,0,0,5,100,139,0,0,0,0,51,14,404529,0,0,0,0,500,404000,0,0,0,0,1,28
Del_Norte,52,12,6,4,2,0,10,0,0,0,0,18,0,311,12,0,5,1,0,1,0,0,0,0,292,0,1500,0,0,0,0,0,0,0,0,0,0,1500,0
El_Dorado,143,2,0,45,22,1,49,0,0,0,2,17,5,130,21,0,12,24,0,44,0,0,0,1,9,19,23351,0,0,5101,11550,0,6700,0,0,0,0,0,0
Fresno,59,0,0,10,15,1,21,0,0,0,3,7,2,265,0,0,24,35,3,94,0,0,0,33,69,7,89953,0,0,0,31000,0,28453,0,0,0,20000,10500,0
Glenn,3,0,0,0,1,1,0,0,0,0,0,1,0,3,0,0,0,1,1,0,0,0,0,0,1,0,15000,0,0,0,15000,0,0,0,0,0,0,0,0
Humboldt,124,1,1,21,7,7,29,0,0,0,2,54,2,734,0,4,85,305,38,37,0,0,0,0,225,40,233400,0,0,11000,4500,1300,1600,0,0,0,0,215000,0
