COUNTY,Total Count,Arson Count,Campfire Count,Debris Burning Count,Electrical Power Count,Equipment Usage Count,Lightning Count,Misc. Count,Play With Fire Count,Railroad Count,Smoking Count,Undetermined Count,Vehicle Count,Total Acres,Arson Acres,Campfire Acres,Debris Burning Acres,Electrical Power Acres,Equipment Usage Acres,Lightning Acres,Misc. Acres,Play With Fire Acres,Railroad Acres,Smoking Acres,Undetermined Acres,Vehicle Acres,Total Dollars,Arson Dollars,Campfire Dollars,Debris Burning Dollars,Electrical Power Dollars,Equipment Usage Dollars,Lightning Dollars,Misc. Dollars,Play With Fire Dollars,Railroad Dollars,Smoking Dollars,Undetermined Dollars,Vehicle Dollars
Inyo,16,1,2,2,1,0,4,0,0,0,1,5,0,1013,46,1,945,0,0,17,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kings,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake,54,5,2,1,3,0,20,1,0,0,1,21,0,1560,3,1501,1,2,0,24,1,0,0,1,27,0,163650,160000,0,0,2000,0,1600,0,0,0,0,50,0
Lassen,81,1,0,4,5,22,42,0,0,0,2,5,0,1148,1,0,2,4,11,268,0,0,0,1,861,0,3226338,5,0,32,1500,5046,9751,0,0,0,2,3210002,0
Madera,56,3,0,7,4,0,17,0,0,0,2,20,3,510,1,0,4,303,0,157,0,0,0,11,32,2,88150,0,0,0,77000,0,10000,0,0,0,600,550,0
Mariposa,49,3,0,5,8,1,17,0,0,0,1,14,0,157,2,0,1,9,3,65,0,0,0,0,77,0,2902,0,0,0,400,0,502,0,0,0,0,2000,0
Mendocino,130,0,2,18,7,7,37,0,5,0,2,49,3,321,0,1,15,17,14,84,0,11,0,1,173,5,912470,0,0,200000,400,0,256400,0,0,0,0,450020,5650
Merced,22,1,0,0,4,0,3,0,0,0,0,13,1,74,0,0,0,19,0,18,0,0,0,0,36,1,700,0,0,0,0,0,300,0,0,0,0,400,0
Modoc,10,0,0,2,1,2,4,0,0,0,0,1,0,203,0,0,0,0,200,2,0,0,0,0,1,0,1250,0,0,0,0,0,1250,0,0,0,0,0,0
Monterey,43,4,1,4,3,0,18,0,1,0,2,7,3,9940,3,0,8,57,0,9862,0,1,0,1,3,5,52037,0,0,1000,1200,0,49837,0,0,0,0,0,0
Napa,41,2,0,3,4,0,18,0,1,0,0,13,0,204,5,0,0,19,0,32,0,1,0,0,147,0,56621,0,0,0,30500,0,25101,0,0,0,0,1020,0
Nevada,91,2,0,22,5,2,32,0,1,0,3,24,0,78,2,0,10,27,1,17,0,0,0,3,18,0,49150,15000,0,350,1000,0,200,0,0,0,500,32100,0
Placer,102,3,0,15,23,2,16,0,0,0,2,38,3,1098,313,0,10,35,2,18,0,0,0,4,716,0,25031902,25000100,0,0,10100,0,202,0,0,0,0,500,21000
Plumas,13,0,0,1,2,0,6,0,0,0,0,4,0,31,0,0,0,0,0,14,0,0,0,0,17,0,1050,0,0,0,1000,0,0,0,0,0,0,50,0
Riverside,158,5,1,7,34,3,36,0,1,0,8,56,7,2542,14,2,82,519,2,778,0,1,0,5,645,494,565250,0,0,25000,474150,0,36000,0,0,0,0,5100,25000
Sacramento,14,1,0,0,2,0,5,0,0,0,0,4,2,248,1,0,0,27,0,4,0,0,0,0,173,43,5750,0,0,0,0,0,0,0,0,0,0,0,5750
San_Benito,19,0,1,2,4,0,5,0,0,0,1,1,5,115,0,1,7,52,0,42,0,0,0,1,0,12,22240,0,0,0,1240,0,0,0,0,0,0,0,21000
San_Bernardino,60,7,0,4,3,4,19,0,0,0,6,15,2,1206,4,0,4,1,3,8,0,0,0,1,1185,0,11000,0,0,0,0,0,11000,0,0,0,0,0,0
San_Diego,148,4,1,14,31,4,38,0,0,0,4,48,4,422,2,2,32,58,1,90,0,0,0,3,229,5,236815,2500,0,0,47200,0,1095,0,0,0,20,183500,2500
San_Joaquin,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
San_Joaquin,29,1,0,0,4,0,10,0,0,0,0,14,0,14568,6,0,0,2,0,14369,0,0,0,0,191,0,630650,1200,0,0,250,0,628600,0,0,0,0,600,0
San_Luis_Obispo,97,2,1,5,18,0,27,0,2,0,0,37,5,405,4,1,48,35,0,109,0,3,0,0,79,126,118822,0,2500,0,12400,0,422,0,0,0,0,3500,100000
San_Mateo,13,1,0,1,1,0,2,0,0,0,0,7,1,7,0,0,1,1,0,0,0,0,0,0,5,0,49710,0,0,200,0,0,0,0,0,0,0,10,49500
Santa_Clara,40,2,0,5,4,0,13,0,0,0,0,16,0,1633,5,0,3,1602,0,5,0,0,0,0,18,0,155100,1100,0,10000,144000,0,0,0,0,0,0,0,0
Santa_Cruz,57,2,2,7,3,0,20,0,1,0,1,21,0,8330,2,1,2,2,0,7,0,1,0,1,8314,0,165862,0,0,8500,0,0,155002,0,500,0,0,1860,0
Shasta,156,2,1,16,8,41,49,2,0,0,3,31,3,18122,4,1,29,13,343,17697,4,0,0,4,27,0,23552,0,0,750,500,0,12200,0,0,0,0,102,10000
Siskiyou,127,3,1,19,5,44,34,0,0,0,2,19,0,290,1,0,87,40,19,30,0,0,0,0,113,0,18850,3500,0,500,3000,50,11200,0,0,0,0,600,0
Solano,12,0,0,1,5,0,1,0,0,0,0,5,0,212,0,0,0,9,0,0,0,0,0,0,203,0,100465,0,0,0,425,0,40,0,0,0,0,100000,0
Sonoma,109,7,1,11,8,4,43,0,1,0,1,33,0,290,5,5,7,13,10,40,0,1,0,1,208,0,89422,1200,0,1000,0,0,81122,0,0,0,0,6100,0
Stanislaus,55,2,2,6,12,0,17,0,0,0,0,13,3,1098,3,0,612,306,0,163,0,0,0,0,12,2,320411,200,0,201500,57300,0,59411,0,0,0,0,700,1300
Tehama,48,4,1,5,4,5,14,0,1,0,1,12,1,107,0,5,16,31,2,7,0,1,0,0,44,1,100001,0,0,0,100000,0,1,0,0,0,0,0,0
Trinity,47,1,0,6,1,5,26,0,1,0,2,5,0,1382,1300,0,14,0,4,9,0,0,0,51,4,0,124300,2000,0,0,0,0,122100,0,0,0,0,200,0
Tulare,79,17,0,1,13,6,28,0,0,0,1,13,0,642,73,0,0,25,15,282,0,0,0,1,246,0,17962,460,0,0,6200,0,4750,0,0,0,0,6552,0
Tuolumne,52,3,0,6,2,1,22,0,1,0,3,13,1,52,1,0,2,3,1,35,0,0,0,0,8,2,27600,250,0,0,50,0,26050,0,0,0,0,1250,0
Yolo,15,1,0,2,6,0,4,0,0,0,0,2,0,736,1,0,4,729,0,2,0,0,0,0,0,0,302001,0,0,0,300001,0,2000,0,0,0,0,0,0
Yuba,49,1,0,5,8,0,7,0,0,0,0,26,2,3962,1,0,6,8,0,9,0,0,0,0,3937,1,25000,0,0,0,25000,0,0,0,0,0,0,0,0
