COUNTY,Total Count,Arson Count,Campfire Count,Debris Burning Count,Electrical Power Count,Equipment Usage Count,Lightning Count,Misc. Count,Play With Fire Count,Railroad Count,Smoking Count,Undetermined Count,Vehicle Count,Total Acres,Arson Acres,Campfire Acres,Debris Burning Acres,Electrical Power Acres,Equipment Usage Acres,Lightning Acres,Misc. Acres,Play With Fire Acres,Railroad Acres,Smoking Acres,Undetermined Acres,Vehicle Acres,Total Dollars,Arson Dollars,Campfire Dollars,Debris Burning Dollars,Electrical Power Dollars,Equipment Usage Dollars,Lightning Dollars,Misc. Dollars,Play With Fire Dollars,Railroad Dollars,Smoking Dollars,Undetermined Dollars,Vehicle Dollars
Alameda,45,0,0,1,8,0,12,0,1,0,0,21,2,850,0,0,0,21,0,206,0,100,0,0,516,7,264450,0,0,0,100400,0,93300,0,20000,0,0,50750,0
Amador,41,0,0,15,4,0,19,0,2,0,0,1,0,42,0,0,6,7,0,28,0,1,0,0,0,0,5000,0,0,5000,0,0,0,0,0,0,0,0,0
Butte,85,8,1,13,14,0,24,0,3,0,2,18,1,191,33,0,8,25,0,74,0,0,0,1,48,2,459854,1500,0,2,1350,0,155002,0,500,0,0,301500,0
Calaveras,85,7,2,10,12,2,24,0,8,0,2,18,0,230,5,2,8,66,2,124,0,6,0,1,16,0,96763,3200,200,1552,42865,800,1175,0,5800,0,20,41151,0
Colusa,4,1,0,1,0,0,0,0,0,0,0,2,0,7,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contra Costa,40,0,1,1,2,0,25,0,1,0,0,9,1,409,0,0,0,4,0,314,0,1,0,0,87,3,74500,0,5000,0,5000,0,56000,0,0,0,0,8500,0
Del Norte,24,6,0,0,0,0,12,0,1,0,0,5,0,22,20,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Dorado,109,5,0,36,7,0,37,0,3,0,3,17,1,134,6,0,17,4,0,15,0,71,0,10,10,1,52650,0,0,2200,0,0,50,0,0,0,0,50400,0
Fresno,51,2,0,5,7,0,10,0,6,0,1,19,1,360,1,0,12,12,0,16,0,7,0,3,308,1,302622,0,0,14000,6000,0,2222,0,500,0,0,278200,1700
Glenn,4,0,0,1,2,0,0,0,0,0,0,1,0,8,0,0,1,2,0,0,0,0,0,0,5,0,4000,0,0,0,4000,0,0,0,0,0,0,0,0
Humboldt,81,4,3,5,6,0,26,0,8,0,3,26,0,250,3,1,3,3,0,215,0,4,0,0,21,0,278870,0,1200,0,150,0,275020,0,700,0,0,1800,0
Inyo,14,3,0,1,0,1,1,0,1,0,0,6,1,2,1,0,0,0,0,0,0,0,0,1,0,0,7500,0,0,0,0,0,0,0,0,0,0,0,7500
Kings,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake,45,4,1,2,10,0,9,0,3,0,3,12,1,504,0,1,1,10,0,17,0,13,0,0,462,0,1000,0,0,0,0,0,0,0,0,0,0,1000,0
Lassen,34,2,0,4,2,5,15,0,0,0,2,4,0,331,10,0,0,76,3,240,0,0,0,1,1,0,63080,24,0,2,60000,1201,1835,0,0,0,18,0,0
Madera,48,0,0,4,3,2,17,0,0,0,0,21,1,157,0,0,8,4,0,13,0,0,0,0,132,0,5340,0,0,2000,0,0,500,0,0,0,0,2840,0
Mariposa,31,0,0,4,8,0,10,0,2,0,0,6,1,175,0,0,9,70,0,87,0,5,0,0,4,0,20296,0,0,10200,5000,0,4996,0,0,0,0,100,0
Mendocino,87,8,1,11,15,0,23,0,4,0,1,23,1,233,4,0,9,68,0,15,0,3,0,0,134,0,31710,1210,0,0,3700,0,0,0,500,0,0,6300,20000
Merced,28,1,0,1,4,0,3,0,3,0,1,14,1,3060,2,0,2,300,0,465,0,164,0,57,2067,3,49700,0,0,0,2700,0,0,0,0,0,0,47000,0
Modoc,16,1,0,1,0,5,7,0,0,0,0,2,0,86,1,0,1,0,82,1,0,0,0,0,1,0,1364,8,0,4,0,1250,52,0,0,0,0,50,0
Monterey,53,3,0,5,10,0,19,0,3,0,1,10,2,403,4,0,77,105,0,181,0,13,0,2,19,2,27750,0,0,2000,18200,0,7350,0,0,0,0,200,0
Napa,48,3,1,6,6,0,6,0,2,0,1,20,3,171,53,0,6,48,0,5,0,1,0,1,55,2,201725,0,0,0,200025,0,0,0,200,0,0,1500,0
Nevada,72,3,2,19,5,0,18,0,2,0,1,22,0,55,1,0,17,8,0,12,0,3,0,0,14,0,16000,0,0,0,9500,0,0,0,5000,0,0,1500,0
Placer,110,8,0,7,17,0,30,0,3,0,1,44,0,289,5,0,15,28,0,130,0,0,0,0,111,0,37560,200,0,10000,2050,0,13001,0,0,0,0,12309,0
Plumas,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plumas,7,0,0,1,1,0,3,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0
Plumas,8,0,0,1,1,0,3,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0
Riverside,183,6,0,7,33,7,47,0,10,0,6,64,3,4548,15,0,74,1209,616,1809,0,13,0,4,798,10,53475,0,0,0,1000,0,35450,0,5025,0,0,12000,0
Sacramento,23,4,0,1,3,0,5,0,6,0,0,4,0,213,15,0,1,9,0,9,0,177,0,0,2,0,3800,0,0,1000,2800,0,0,0,0,0,0,0,0
San Joaquin,28,0,0,0,1,0,10,0,4,0,0,12,1,234,0,0,0,100,0,4,0,94,0,0,26,10,40350,0,0,0,11000,0,6800,0,14750,0,0,800,7000
San Benito,22,2,2,2,4,0,6,0,1,0,0,4,1,157,20,1,28,15,0,85,0,1,0,0,6,1,62015,50000,0,0,0,0,12000,0,15,0,0,0,0
San Bernardino,116,8,0,16,8,6,28,0,4,0,0,46,0,320,16,0,1,9,3,41,0,81,0,0,169,0,5800,400,0,0,400,0,0,0,1000,0,0,4000,0
San Diego,136,7,0,16,18,8,40,0,3,0,0,43,1,3594,9,0,9,50,156,2037,0,1,0,0,1324,8,35550,0,0,0,5700,0,9300,0,0,0,0,10550,10000
San Joaquin,10,0,0,1,1,0,5,0,0,0,0,3,0,7,0,0,1,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Luis Obispo,79,0,0,7,18,1,21,0,2,0,0,29,1,2017,0,0,59,408,1,284,0,2,0,0,1259,4,54268,0,0,1566,40900,0,3501,0,0,0,0,801,7500
San Mateo,15,0,0,0,1,0,5,0,2,0,1,6,0,12,0,0,0,1,0,3,0,3,0,0,5,0,16040,0,0,0,0,0,100,0,0,0,0,1500,0
Santa Clara,37,4,0,1,7,0,12,0,0,0,1,11,1,69,5,0,4,31,0,6,0,0,0,0,22,1,518750,0,5000,1000,252800,0,157500,0,34500,0,0,67450,500
Santa Cruz,46,5,0,3,4,0,16,0,4,0,0,13,1,22,3,0,1,1,0,10,0,1,0,0,5,1,5400,0,0,1000,2900,0,1500,0,0,0,0,0,0
Sierra,3,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,4,0,10000,0,0,0,0,0,0,0,0,0,0,10000,0
Siskiyou,57,2,0,9,5,12,12,0,2,0,1,12,2,61,0,0,1,4,7,32,0,7,0,2,8,0,7050,0,0,500,50,0,4000,0,0,0,0,0,2500
Solano,14,0,0,2,3,0,4,0,0,0,0,5,0,68,0,0,3,47,0,6,0,0,0,0,12,0,11150,0,0,0,10250,0,400,0,0,0,0,500,0
Sonoma,75,1,0,7,9,0,31,0,7,0,1,15,4,235,0,0,5,27,0,95,0,97,0,1,10,0,340240,0,0,40,100750,0,15000,0,224450,0,0,0,0
Stanislaus,58,8,0,1,8,0,19,0,2,0,2,15,3,793,51,0,0,618,0,9,0,6,0,1,105,3,68800,19800,0,0,1100,0,400,0,45700,0,100,1500,200
Tehama,59,0,0,5,13,0,17,0,3,0,2,16,3,241,0,0,9,50,0,24,0,2,0,2,145,9,50400,0,0,5200,10200,0,2500,0,30100,0,1300,1100,0
Trinity,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
Trinity,14,0,0,2,2,0,5,0,1,0,2,2,0,17,0,0,0,9,0,5,0,0,0,2,1,0,144000,0,0,0,133500,0,700,0,0,0,200,9100,500
Tulare,76,20,0,3,15,1,10,0,2,0,0,24,1,2519,313,0,2,1033,62,945,0,2,0,0,162,0,57895,6100,0,0,23090,620,28085,0,0,0,0,0,0
