COUNTY,Total Count,Arson Count,Campfire Count,Debris Burning Count,Electrical Power Count,Equipment Usage Count,Lightning Count,Misc. Count,Play With Fire Count,Railroad Count,Smoking Count,Undetermined Count,Vehicle Count,Total Acres,Arson Acres,Campfire Acres,Debris Burning Acres,Electrical Power Acres,Equipment Usage Acres,Lightning Acres,Misc. Acres,Play With Fire Acres,Railroad Acres,Smoking Acres,Undetermined Acres,Vehicle Acres,Total Dollars,Arson Dollars,Campfire Dollars,Debris Burning Dollars,Electrical Power Dollars,Equipment Usage Dollars,Lightning Dollars,Misc. Dollars,Play With Fire Dollars,Railroad Dollars,Smoking Dollars,Undetermined Dollars,Vehicle Dollars
Alameda,50,0,1,2,6,5,2,4,0,0,0,21,9,3458,0,0,0,272,33,43,5,0,0,0,2929,176,1826231,0,0,0,85350,3756,4275,400,0,0,0,1675450,57000
Amador,46,2,1,14,5,1,4,5,0,0,1,9,4,70892,0,0,5,70870,1,3,1,0,0,0,11,1,1000000709,0,0,180,999999999,0,0,0,0,0,0,530,0
Butte,11,0,1,0,0,0,3,5,0,0,0,1,1,16,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calaveras,122,2,1,32,7,13,8,21,1,0,1,26,10,293,0,0,36,49,26,8,5,1,0,0,17,151,139494,0,0,19600,8625,13000,8000,10110,100,0,0,64643,15416
Colusa,9,1,0,0,2,2,0,2,0,0,0,2,0,79,0,0,0,1,6,0,70,0,0,0,2,0,6551,0,0,0,6500,0,0,50,0,0,0,1,0
Contra Costa,43,11,2,1,8,5,0,3,0,0,0,10,3,363,7,1,0,6,269,0,46,0,0,0,31,3,59230,1420,0,0,5000,47950,0,3500,0,0,0,1360,0
Del Norte,22,3,4,4,0,0,1,5,1,0,0,4,0,6,0,2,0,0,0,1,1,1,0,0,1,0,500,0,500,0,0,0,0,0,0,0,0,0,0
El Dorado,205,9,4,50,17,19,12,35,5,0,4,38,12,376,17,1,114,25,18,65,9,1,0,0,115,11,37127,0,100,395,0,5770,2,14050,120,0,14000,2540,150
Fresno,115,35,3,8,12,10,20,7,0,0,1,12,7,393,220,1,12,27,12,59,18,0,0,9,14,21,11675,900,0,0,2300,0,500,375,0,0,0,1600,6000
Glenn,6,0,0,0,0,0,0,2,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,1,2,250,0,0,0,0,0,0,250,0,0,0,0,0
Humboldt,262,57,12,16,25,3,55,27,3,0,1,53,10,3655,363,4,4,6,18,3206,4,0,0,2,42,6,8783968,8000060,0,2,2,55000,57400,571002,0,0,0,100500,2
Inyo,12,0,1,1,1,0,1,0,0,0,1,5,2,7002,0,0,0,1,0,0,0,0,0,0,7001,0,15819560,0,0,0,3000,0,0,0,0,0,0,15811560,5000
Kings,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake,75,9,0,10,8,8,0,7,2,0,2,24,5,171849,1,0,4,76069,70611,0,11,0,0,0,25151,2,2017984089,1000,0,520,2000000198,7755841,0,225000,0,0,500,10001030,0
Lassen,67,3,2,3,0,2,43,6,0,0,0,6,2,215,0,0,0,0,0,98,77,0,0,0,40,0,2510,0,0,0,0,400,1010,0,0,0,0,1000,100
Madera,74,7,2,17,7,7,1,4,4,0,0,16,9,1151,8,0,142,921,54,0,0,3,0,0,4,19,101321,400,600,35000,56020,0,0,0,0,0,0,100,9201
Mariposa,44,4,2,20,0,5,1,5,0,0,1,4,2,113,4,1,7,0,32,1,5,0,0,0,1,62,1000,500,200,0,0,0,0,0,0,0,0,300,0
Mendocino,139,6,11,42,12,5,5,14,1,2,2,25,14,364,9,1,262,16,7,20,7,1,2,0,36,3,328014,3000,0,3870,11101,12500,0,272381,0,0,40,910,24212
Merced,19,4,0,0,1,0,1,2,0,0,0,5,6,3789,23,0,0,3,0,1600,11,0,0,0,8,2144,701920,600,0,0,0,0,100000,600000,0,0,0,1300,20
Modoc,16,0,0,0,0,1,9,0,0,2,0,4,0,184,0,0,0,0,60,122,0,0,1,0,1,0,4,0,0,0,0,0,4,0,0,0,0,0,0
Monterey,54,1,0,5,10,4,9,5,1,0,1,11,7,1206,0,0,12,4,5,69,3,3,0,0,1104,6,10005710,10000000,0,500,1200,100,200,1500,0,0,200,0,2010
Napa,51,0,3,12,9,3,2,6,0,0,0,15,1,8173,0,2,2,45,1,2,17,0,0,0,8103,1,277310,0,0,0,50000,0,0,7000,0,0,0,220310,0
Nevada,119,12,1,28,14,7,13,13,1,0,1,25,4,2496,11,0,9,4,36,3,106,0,0,0,2325,2,42402,0,0,10000,400,20000,0,0,2,0,0,12000,0
Placer,125,4,2,24,9,11,12,11,3,1,0,40,8,199,2,0,13,10,26,6,12,1,0,0,124,5,289354,0,0,231001,16150,7000,2700,1000,2,0,0,15300,16201
Plumas,13,2,0,1,0,0,8,1,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,300,0,0,0,0,0,300,0,0,0,0,0,0
Riverside,120,4,12,18,5,8,2,16,5,0,3,40,7,1256,0,81,3,3,1063,0,20,1,0,0,59,26,35148,0,100,37,11,24000,0,1000,0,0,0,8500,1500
Sacramento,16,1,0,1,2,1,0,3,1,0,0,4,3,606,357,0,0,0,3,0,236,0,0,0,8,2,100,0,0,0,0,0,0,0,0,0,0,0,100
San Benito,24,2,0,1,3,9,1,1,0,0,0,5,2,769,0,0,9,695,51,4,2,0,0,0,2,6,15620,0,0,0,5000,10620,0,0,0,0,0,0,0
San Bernardino,87,3,9,9,0,2,3,28,4,0,0,26,3,53,1,2,3,0,1,0,3,2,0,0,41,0,66102,0,0,0,0,200,0,2,65000,0,0,900,0
San Diego,110,0,3,16,6,9,6,17,3,0,0,47,3,229,0,2,4,3,7,2,10,0,0,0,201,0,144957,0,0,0,11407,0,0,0,30000,0,0,88050,15500
San Joaquin,6,0,0,0,1,1,0,1,0,0,0,2,1,65,0,0,0,2,0,0,60,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
San Joaquin,18,0,0,0,0,4,0,2,0,0,0,8,4,75,0,0,0,0,17,0,3,0,0,0,42,13,4365,0,0,0,0,2025,0,550,0,0,0,190,1600
San Luis Obispo,134,1,10,7,11,15,7,42,1,0,1,11,28,4463,0,3,24,11,11,4,110,0,0,0,7,4293,1399900,0,100,0,15100,0,20000,440400,0,0,0,0,924300
San Mateo,17,0,1,0,2,2,1,0,0,0,1,9,1,37,0,0,0,7,4,0,0,0,0,1,15,10,602,0,0,0,2,200,300,0,0,0,0,100,0
Santa Clara,58,1,0,2,6,7,1,9,0,0,0,26,6,183,0,0,0,9,5,1,3,0,0,0,159,6,11274,0,0,0,0,494,0,100,0,0,0,10580,100
Santa Cruz,46,7,2,2,8,4,0,6,0,0,1,13,3,10,1,0,0,4,0,0,2,0,0,0,3,0,10007,105,0,0,900,500,0,0,0,0,0,3002,5500
Shasta,171,35,5,23,6,13,27,14,5,0,2,31,10,768,9,2,28,16,123,91,69,3,0,1,178,248,817321,200,200,30000,0,58800,100,10050,3000,0,0,413371,301600
Sierra,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siskiyou,181,4,5,20,5,7,50,63,1,0,0,26,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solano,183,1,0,2,0,1,0,4,0,0,0,7,3,191,4,0,0,0,0,0,1,0,0,0,31,155,20340,0,0,40,0,0,0,300,0,0,0,5000,15000
Sonoma,156,2,10,28,17,13,0,25,1,0,3,30,27,129,0,2,2,5,42,0,5,0,0,0,58,15,1392000,0,0,0,25600,10700,0,1350500,0,0,0,5000,200
Stanislaus,38,4,5,0,6,1,1,5,0,0,0,9,7,180,20,4,0,44,3,0,37,0,0,0,50,22,28130,2800,0,0,9380,1000,0,1800,0,0,0,350,12800
Sutter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tehama,77,2,2,7,4,4,9,10,1,0,1,27,10,539,16,1,18,99,9,25,60,5,0,0,270,36,833450,0,0,3450,51000,800,1000,53600,2000,0,0,219050,502550
Trinity,33,3,1,5,0,3,8,7,0,0,0,6,0,3439,2,0,15,0,29,3263,129,0,0,0,1,0,10400,0,0,0,0,0,0,10400,0,0,0,0,0
Tulare,70,5,0,1,7,5,17,12,0,0,0,20,3,740,6,0,0,2,36,629,23,0,0,0,43,1,176768,45,0,0,2,500,1000,175201,0,0,0,20,0
Tuolumne,83,3,1,13,8,10,6,16,0,0,1,21,4,568,0,0,209,6,72,0,54,0,0,0,117,110,61927,20,0,920,336,22247,0,12400,0,0,0,4,26000
Yolo,18,1,0,2,0,2,0,1,0,0,1,6,5,114,0,0,3,0,4,0,0,0,0,0,107,0,67500,0,0,0,0,60000,0,0,0,0,0,7500,0
Yuba,46,2,1,7,2,9,2,7,0,0,1,10,5,72,1,2,4,5,2,1,22,0,0,0,32,3,252620,0,0,0,250000,2600,0,20,0,0,0,0,0
