COUNTY,Total Count,Arson Count,Campfire Count,Debris Burning Count,Electrical Power Count,Equipment Usage Count,Lightning Count,Misc. Count,Play With Fire Count,Railroad Count,Smoking Count,Undetermined Count,Vehicle Count,Total Acres,Arson Acres,Campfire Acres,Debris Burning Acres,Electrical Power Acres,Equipment Usage Acres,Lightning Acres,Misc. Acres,Play With Fire Acres,Railroad Acres,Smoking Acres,Undetermined Acres,Vehicle Acres,Total Dollars,Arson Dollars,Campfire Dollars,Debris Burning Dollars,Electrical Power Dollars,Equipment Usage Dollars,Lightning Dollars,Misc. Dollars,Play With Fire Dollars,Railroad Dollars,Smoking Dollars,Undetermined Dollars,Vehicle Dollars
Alameda,49,1,0,0,9,0,16,5,0,0,0,14,4,1507,545,0,0,730,0,116,24,0,0,0,15,77,487750,137000,0,0,339250,0,7900,2500,0,0,0,500,600
Amador,51,1,0,10,6,0,21,2,0,0,0,8,3,114,4,0,24,5,0,29,7,0,0,0,17,28,4200,0,0,200,0,0,1000,0,0,0,0,3000,0
Butte,164,24,1,29,16,2,48,9,0,0,2,27,6,276,20,0,45,29,0,33,13,0,0,1,103,32,125600,0,0,32000,46400,0,2000,0,0,0,0,25200,20000
Calaveras,134,5,1,37,11,3,45,2,1,0,2,25,2,1145,0,0,28,189,6,865,5,0,0,12,39,1,322326,100,0,59076,44300,2000,170975,20000,0,0,4800,21075,0
Colusa,11,3,1,0,2,0,2,0,0,0,0,3,0,77,2,0,0,4,0,1,0,0,0,0,70,0,13000,0,0,0,13000,0,0,0,0,0,0,0,0
Contra Costa,68,3,0,3,5,1,32,1,0,0,0,21,2,475,18,0,1,57,7,259,12,0,0,0,118,3,684650,2000,0,0,2000,0,660800,1200,0,0,0,18450,200
Del Norte,17,2,1,3,1,0,4,0,0,0,0,6,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Dorado,143,2,0,42,18,2,53,7,0,0,1,14,4,107,5,0,43,13,0,22,9,0,0,0,3,12,55400,0,0,10000,3100,0,9700,2500,0,0,0,100,30000
Fresno,110,5,1,13,24,2,38,11,0,0,0,14,2,1319,20,7,35,307,30,367,226,0,0,0,309,18,109085,2000,500,200,15650,0,62335,5200,0,0,0,3200,20000
Glenn,2,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humboldt,80,5,1,14,3,0,17,3,0,0,1,32,4,696,2,0,150,3,0,504,2,0,0,0,24,11,133938,0,0,400,30000,0,37,1000,0,0,1000,100001,1500
Inyo,13,2,1,2,3,1,0,0,0,0,1,3,0,6551,1,0,395,5305,0,0,0,0,0,0,850,0,20007,0,0,0,20000,0,0,0,0,0,0,7,0
Kings,5,0,0,0,2,0,2,0,0,0,0,1,0,48,0,0,0,11,0,36,0,0,0,0,1,0,1200,0,0,0,1000,0,200,0,0,0,0,0,0
Lake,57,2,2,11,2,0,16,2,0,0,2,20,0,82,1,0,14,2,0,15,3,0,0,2,45,0,534840,100,0,40,1000,0,520600,0,0,0,0,13100,0
Lassen,36,3,0,10,3,8,4,1,1,0,0,5,1,57,4,0,9,0,0,3,13,0,0,0,27,1,9916,100,0,9022,300,274,10,10,0,0,0,200,0
Madera,73,2,1,14,7,1,16,3,1,0,0,27,1,702,2,2,10,113,0,106,31,1,0,0,436,1,26145,200,0,100,2025,0,500,15000,0,0,0,8320,0
Mariposa,49,1,0,10,6,1,18,1,0,0,0,12,0,111,1,0,24,10,0,53,4,0,0,0,19,0,14003,0,0,10001,100,0,2,3400,0,0,0,500,0
Mendocino,128,13,2,21,10,0,36,2,1,0,2,38,3,766,22,2,20,19,0,659,1,1,0,1,38,3,81012,800,0,0,0,0,4012,0,0,0,0,26200,50000
Merced,23,0,0,0,2,0,8,2,0,0,0,10,1,1398,0,0,0,61,0,30,39,0,0,0,693,575,81080,0,0,0,60000,0,0,0,0,0,0,9780,11300
Modoc,29,0,0,3,1,3,18,0,0,0,0,4,0,33,0,0,4,0,10,18,0,0,0,0,1,0,1882,0,0,500,200,50,32,0,0,0,0,1100,0
Monterey,72,6,1,9,16,0,27,5,0,0,0,7,1,1801,22,0,54,276,0,977,446,0,0,0,6,20,165076,250,0,400,220,0,132586,30420,0,0,0,1100,100
Napa,30,0,0,3,6,0,10,2,0,0,0,8,1,619,0,0,6,21,0,72,3,0,0,0,517,0,754350,0,0,0,0,0,754050,300,0,0,0,0,0
Nevada,59,2,1,15,6,3,15,1,0,0,2,14,0,44,2,0,20,2,0,11,0,0,0,2,7,0,30350,0,0,50,29700,0,500,0,0,0,0,100,0
Placer,78,1,1,13,9,1,22,7,0,0,3,20,1,59,3,0,14,11,0,14,4,0,0,1,10,2,55550,0,0,5050,500,0,7300,41050,0,0,0,1650,0
Plumas,3,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plumas,6,0,0,2,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,750,0,0,750,0,0,0,0,0,0,0,0,0
Riverside,208,7,0,12,29,5,53,10,0,1,7,78,6,2318,13,0,16,255,8,382,31,0,1,4,1597,11,335600,0,0,0,157600,0,51000,17000,0,0,0,51000,59000
Sacramento,15,2,0,0,2,0,7,1,0,0,0,3,0,58,0,0,0,1,0,38,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Joaquin,28,1,0,1,2,0,13,0,0,0,0,10,1,316,1,0,5,5,0,9,0,0,0,0,295,1,71660,100,0,0,7000,0,7110,0,0,0,0,57450,0
San Benito,23,2,0,1,5,0,8,3,0,0,0,4,0,119,4,0,1,54,0,12,7,0,0,0,41,0,8215,0,0,0,3195,0,20,0,0,0,0,5000,0
San Bernardino,102,5,0,5,19,3,40,5,1,0,3,21,0,1991,0,0,2,20,2,296,15,1,0,2,1653,0,419810,0,0,0,39002,0,108,0,0,0,0,380700,0
San Diego,196,6,0,8,28,8,57,9,0,0,2,77,1,17439,14138,0,23,136,220,374,239,0,0,1,2306,2,341962,5000,0,0,99800,0,232162,500,0,0,0,3500,1000
San Joaquin,7,0,0,0,1,0,4,0,0,0,0,2,0,22,0,0,0,5,0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Luis Obispo,126,2,0,9,24,1,54,6,0,0,0,27,3,2392,1,0,17,1957,1,62,67,0,0,0,243,44,123200,0,0,0,89300,0,28900,3000,0,0,0,2000,0
San Mateo,10,0,0,0,2,0,5,0,0,0,0,3,0,6,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Clara,38,2,2,2,6,0,13,5,0,0,0,8,0,113,0,0,1,51,0,43,5,0,0,0,13,0,24500,0,0,0,16500,0,8000,0,0,0,0,0,0
Santa Cruz,60,0,2,6,5,0,27,9,0,0,0,11,0,20,0,0,4,3,0,8,1,0,0,0,4,0,13426,0,0,1,2000,0,11025,400,0,0,0,0,0
Shasta,159,12,1,27,11,18,52,4,1,0,3,29,1,347,6,0,69,15,5,101,19,1,0,3,127,1,33600,200,0,14800,1000,0,100,2500,0,0,1000,14000,0
Sierra,5,0,0,0,0,0,0,0,0,0,0,5,0,14,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siskiyou,57,1,0,13,4,8,20,1,1,0,0,5,4,105,1,0,22,18,24,21,5,1,0,0,13,0,291402,0,0,0,1000,0,250402,0,0,0,0,0,40000
Solano,16,1,0,4,2,0,2,0,0,0,0,6,1,751,715,0,3,16,0,2,0,0,0,0,15,0,3020,0,0,0,2500,0,20,0,0,0,0,500,0
Sonoma,74,0,1,9,9,0,29,6,0,0,0,17,3,71,0,1,6,35,0,9,5,0,0,0,14,1,276401,0,0,0,5100,0,271100,201,0,0,0,0,0
Stanislaus,69,3,3,1,7,1,25,3,0,0,1,21,4,2209,259,0,6,94,1122,431,6,0,0,1,282,8,386895,103200,35,900,12100,224400,17250,1000,0,0,0,18810,9200
Sutter,4,0,0,0,0,0,1,0,0,0,0,3,0,357,0,0,0,0,0,112,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tehama,84,2,0,8,12,0,45,2,0,0,2,13,0,324,20,0,105,42,0,125,1,0,0,2,29,0,89320,300,0,520,4600,0,2200,80000,0,0,1000,700,0
Trinity,29,3,1,1,2,0,10,3,0,0,1,6,2,70,13,1,1,1,0,8,32,0,0,1,11,2,16100,0,0,0,100,0,0,10000,0,0,1000,5000,0
Tulare,57,10,1,4,3,2,14,3,0,0,1,18,1,3455,29,0,0,1213,31,803,2,0,0,0,1377,0,76685,2425,0,100,24460,1000,12000,500,0,0,0,36200,0
Tuolumne,121,2,0,31,2,0,66,2,0,0,1,16,1,335,8,0,29,1,0,154,2,0,0,1,134,6,644582,900,0,1831,0,0,604567,600,0,0,0,35484,1200
Yolo,23,0,0,6,4,0,3,0,0,0,0,9,1,207,0,0,53,36,0,68,0,0,0,0,49,1,35002,0,0,0,35000,0,0,0,0,0,0,2,0
Yuba,55,3,0,5,7,0,18,3,0,0,1,16,2,854,11,0,31,23,0,325,365,0,0,6,88,5,319161,100,0,0,175200,0,41261,40000,0,0,0,0,62600
