COUNTY,Total Count,Arson Count,Campfire Count,Debris Burning Count,Electrical Power Count,Equipment Usage Count,Lightning Count,Misc. Count,Play With Fire Count,Railroad Count,Smoking Count,Undetermined Count,Vehicle Count,Total Acres,Arson Acres,Campfire Acres,Debris Burning Acres,Electrical Power Acres,Equipment Usage Acres,Lightning Acres,Misc. Acres,Play With Fire Acres,Railroad Acres,Smoking Acres,Undetermined Acres,Vehicle Acres,Total Dollars,Arson Dollars,Campfire Dollars,Debris Burning Dollars,Electrical Power Dollars,Equipment Usage Dollars,Lightning Dollars,Misc. Dollars,Play With Fire Dollars,Railroad Dollars,Smoking Dollars,Undetermined Dollars,Vehicle Dollars
Alameda,46,1,0,1,7,8,0,1,0,0,1,15,12,843,0,0,1,256,65,0,1,0,0,240,85,195,142125,0,0,400,21050,25300,0,0,0,0,10000,11875,73500
Amador,64,5,0,20,7,5,0,14,1,0,0,10,2,221,4,0,9,100,2,0,2,100,0,0,2,2,2050,500,0,0,50,0,0,1500,0,0,0,0,0
Butte,210,13,6,39,15,9,15,50,8,0,2,42,11,3416,22,4,107,197,2283,5,549,2,0,0,206,41,843776,100000,2000,36100,10000,55524,2,625000,0,0,0,15150,0
Calaveras,98,4,3,22,9,11,0,7,3,0,1,30,8,211,3,2,20,38,13,0,22,2,0,1,82,28,48644,402,125,1592,9720,13100,0,6600,0,0,100,14205,2800
Colusa,9,0,0,0,0,1,1,1,0,0,0,4,2,11,0,0,0,0,2,1,0,0,0,0,8,0,1020,0,0,0,0,20,0,0,0,0,0,900,100
Contra Costa,43,7,1,1,4,4,0,3,0,0,0,22,1,3971,1,0,1,505,60,0,3101,0,0,0,300,3,112910,110,0,100,4100,3400,0,105000,0,0,0,200,0
Del Norte,12,1,4,1,0,0,1,1,0,0,0,3,1,15,0,11,1,0,0,0,0,0,0,0,2,1,20,0,0,20,0,0,0,0,0,0,0,0,0
Trinity,40,4,2,7,6,2,13,1,0,0,2,1,2,23,1,1,5,2,2,8,1,0,0,1,1,1,2250,0,0,250,0,2000,0,0,0,0,0,0,0
El Dorado,236,5,5,66,18,24,4,63,8,0,4,18,21,586,11,9,32,48,164,1,8,3,0,118,3,189,2168563,0,20000,1200,533150,217100,3200,739413,0,0,650000,0,4500
Fresno,64,3,0,8,12,10,5,5,2,0,0,15,4,509,8,0,3,20,62,105,17,1,0,0,279,14,58000,7000,0,0,17000,11300,500,10000,0,0,0,12200,0
Glenn,14,0,0,1,1,2,5,1,0,0,0,4,0,224,0,0,217,1,2,1,0,0,0,0,3,0,2500,0,0,2500,0,0,0,0,0,0,0,0,0
Humboldt,149,33,10,17,3,6,1,13,3,0,2,57,4,335,23,7,15,2,18,0,3,3,0,0,138,126,48505,3,0,4000,0,7500,0,7000,5000,0,0,2,25000
Inyo,22,1,0,1,1,0,7,2,0,0,1,8,1,438,0,0,0,0,0,9,1,0,0,0,21,407,60350,0,0,0,10000,0,0,0,0,0,0,350,50000
Kings,4,0,0,0,1,0,0,0,0,0,0,1,2,6,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake,82,3,3,7,13,6,5,9,1,0,2,26,7,870,33,1,340,85,38,3,103,0,0,0,130,137,404321,100,0,501,111000,600,0,240050,0,0,0,9050,43020
Lassen,71,1,3,7,0,1,45,2,2,0,1,9,0,181,1,0,46,0,0,115,1,0,0,3,15,0,5377,0,0,2,0,0,3772,200,0,0,3,1400,0
Madera,102,13,6,7,5,7,3,5,2,0,2,40,12,1153,41,2,1,6,20,1,18,5,0,5,470,584,12650,400,100,0,0,7250,0,0,0,0,0,4800,100
