COUNTY,Total Count,Arson Count,Campfire Count,Debris Burning Count,Electrical Power Count,Equipment Usage Count,Lightning Count,Misc. Count,Play With Fire Count,Railroad Count,Smoking Count,Undetermined Count,Vehicle Count,Total Acres,Arson Acres,Campfire Acres,Debris Burning Acres,Electrical Power Acres,Equipment Usage Acres,Lightning Acres,Misc. Acres,Play With Fire Acres,Railroad Acres,Smoking Acres,Undetermined Acres,Vehicle Acres,Total Dollars,Arson Dollars,Campfire Dollars,Debris Burning Dollars,Electrical Power Dollars,Equipment Usage Dollars,Lightning Dollars,Misc. Dollars,Play With Fire Dollars,Railroad Dollars,Smoking Dollars,Undetermined Dollars,Vehicle Dollars
Mariposa,38,0,1,7,2,3,0,5,0,0,4,13,3,132,0,0,17,1,15,0,5,0,0,3,87,4,400,0,0,0,0,300,0,0,0,0,0,0,100
Mendocino,148,12,7,29,24,9,10,6,5,1,1,37,7,696,18,2,331,215,24,4,7,7,1,0,82,5,314912,0,0,10200,6002,550,2,0,6,0,0,281952,16200
Merced,20,1,0,1,4,1,0,0,0,0,3,10,0,286,124,0,1,8,1,0,0,0,0,122,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modoc,24,0,0,1,0,0,15,0,1,1,0,3,3,629,0,0,2,0,0,583,0,1,1,0,4,38,30051,0,0,32,0,0,25009,0,1000,0,0,3250,760
Monterey,70,2,5,14,9,3,0,7,0,0,5,9,16,202,2,1,12,10,6,0,31,0,0,2,3,135,3875,0,2,50,2000,40,0,1001,0,0,1,0,781
Napa,50,0,2,1,7,6,0,8,2,0,0,17,7,447,0,0,1,14,5,0,6,12,0,0,407,2,102762,0,100,0,34000,0,0,2600,0,0,0,54040,12022
Nevada,125,1,6,43,11,7,7,10,4,0,3,29,4,131,0,12,22,4,8,2,3,1,0,11,67,1,332568,0,0,2606,13000,2530,0,0,30,0,2000,300002,12400
Placer,143,4,4,24,15,19,3,12,1,1,1,47,12,175,3,3,27,7,30,2,22,0,19,0,59,3,69951,0,0,2650,1000,4501,0,1000,0,0,0,53800,7000
Plumas,12,0,0,0,0,1,4,3,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,2,1274,0,0,0,0,1,2,1020,0,0,0,0,251
Riverside,224,3,6,11,10,8,2,44,6,0,3,68,63,49460,5,4,14,27677,7,3,184,43,0,1,21473,49,7978346,0,0,2000,1138100,11200,0,404448,0,0,0,3188148,3234450
Sacramento,17,1,0,1,3,4,0,0,0,0,0,6,2,83,0,0,2,7,11,0,0,0,0,0,58,5,2,0,0,0,0,0,0,0,0,0,0,2,0
San Joaquin,12,0,0,0,0,4,0,0,0,0,1,7,0,409,0,0,0,0,377,0,0,0,0,0,32,0,75500,0,0,0,0,70000,0,0,0,0,0,5500,0
San Benito,19,1,1,2,0,1,0,7,0,0,0,3,4,466,1,0,3,0,354,0,7,0,0,0,1,100,22600,0,0,5000,0,8000,0,1000,0,0,0,0,8600
San Bernardino,104,8,5,21,2,5,6,17,5,2,4,21,8,666,539,2,4,1,13,12,4,1,3,2,82,3,7326,0,0,0,0,5000,300,2000,0,25,0,1,0
San Diego,197,11,7,7,10,27,1,27,3,0,2,86,16,13319,5,6,5,16,215,12,49,1,0,5,12847,158,277957,0,1300,0,1500,70200,0,2,1,0,0,202154,2800
San Joaquin,8,1,0,1,0,2,0,0,0,0,0,3,1,67,1,0,1,0,64,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
San Luis Obispo,122,0,5,5,13,12,0,30,2,0,2,37,16,407,0,5,9,117,61,0,26,0,0,8,161,20,41050,0,0,0,11300,1550,0,1100,0,0,0,7600,19500
San Mateo,19,1,1,0,4,1,1,0,0,0,0,8,3,13,1,0,0,2,1,0,0,0,0,0,4,5,1215,0,0,0,200,0,0,0,0,0,0,15,1000
Santa Clara,38,0,1,1,4,4,0,5,2,0,0,17,4,148,0,0,1,101,3,0,13,0,0,0,18,12,13560,0,0,10000,2000,0,0,1200,0,0,0,360,0
Santa Cruz,89,11,11,9,7,4,0,10,4,1,4,21,7,45,21,3,2,2,0,0,5,1,0,1,9,1,749518,0,2,1,0,400,0,800,0,0,5,741300,7010
Shasta,222,41,3,38,14,11,15,22,6,0,4,45,23,8696,32,12,99,12,27,197,66,10,0,6,8217,18,5501895,23501,0,43001,15600,5000,2,1200,0,0,600,5407791,5200
Sierra,2,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siskiyou,143,2,3,18,4,7,58,38,2,0,2,7,2,137,0,0,7,0,63,64,1,0,0,0,2,0,2601,0,0,0,0,2400,201,0,0,0,0,0,0
Solano,36,1,2,5,5,3,4,2,2,0,0,9,3,166,0,0,28,15,20,8,1,7,0,0,73,14,327704,0,0,2,86400,220002,0,0,0,0,0,6000,15300
Sonoma,196,11,5,25,37,22,18,26,4,0,4,36,8,4189,26,6,24,3668,210,7,9,2,0,163,47,27,9366896,0,0,0,9265420,21576,100,75500,0,0,0,4300,0
Stanislaus,36,2,1,0,3,4,0,1,2,0,0,17,6,272,1,1,0,40,15,0,3,0,0,0,207,5,130980,210,0,0,5000,2050,0,90000,0,0,0,33720,0
Sutter,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tehama,76,9,0,7,9,10,8,11,1,0,1,17,3,6896,0,0,0,0,0,0,0,0,0,0,6896,0,346400,0,0,0,61500,6900,300,15000,600,0,5000,254100,3000
Tulare,60,12,2,3,6,13,4,5,0,0,0,8,7,529,246,1,1,12,257,3,2,0,0,0,3,4,30920,15000,0,0,500,15400,0,0,0,0,0,20,0
Tuolumne,83,2,2,17,8,8,1,18,1,0,2,18,6,203,0,0,8,7,16,1,13,0,0,1,152,5,107172,0,100,802,35650,66850,0,510,0,0,600,1110,1550
Yolo,20,0,0,3,3,5,0,2,0,0,0,6,1,189,0,0,1,9,170,0,1,0,0,0,8,0,15000,0,0,0,0,15000,0,0,0,0,0,0,0
Yuba,51,2,0,12,5,9,0,4,0,0,1,15,3,229,1,0,15,4,9,0,67,0,0,1,123,9,34257,0,0,1000,1007,5250,0,0,0,0,0,10000,17000
